Week,divvy bikes near me: (United States)
6/5/16,34
6/12/16,34
6/19/16,34
6/26/16,34
7/3/16,0
7/10/16,69
7/17/16,0
7/24/16,34
7/31/16,0
8/7/16,0
8/14/16,0
8/21/16,0
8/28/16,0
9/4/16,0
9/11/16,0
9/18/16,32
9/25/16,0
10/2/16,0
10/9/16,0
10/16/16,32
10/23/16,0
10/30/16,0
11/6/16,0
11/13/16,0
11/20/16,0
11/27/16,0
12/4/16,0
12/11/16,0
12/18/16,0
12/25/16,0
1/1/17,0
1/8/17,0
1/15/17,0
1/22/17,0
1/29/17,0
2/5/17,0
2/12/17,0
2/19/17,0
2/26/17,0
3/5/17,28
3/12/17,0
3/19/17,0
3/26/17,0
4/2/17,29
4/9/17,0
4/16/17,0
4/23/17,0
4/30/17,0
5/7/17,0
5/14/17,0
5/21/17,0
5/28/17,0
6/4/17,0
6/11/17,0
6/18/17,0
6/25/17,33
7/2/17,34
7/9/17,0
7/16/17,0
7/23/17,0
7/30/17,0
8/6/17,62
8/13/17,0
8/20/17,30
8/27/17,0
9/3/17,0
9/10/17,0
9/17/17,0
9/24/17,0
10/1/17,0
10/8/17,29
10/15/17,0
10/22/17,0
10/29/17,0
11/5/17,0
11/12/17,0
11/19/17,0
11/26/17,0
12/3/17,0
12/10/17,0
12/17/17,0
12/24/17,0
12/31/17,0
1/7/18,0
1/14/18,0
1/21/18,0
1/28/18,0
2/4/18,0
2/11/18,0
2/18/18,0
2/25/18,0
3/4/18,28
3/11/18,0
3/18/18,0
3/25/18,0
4/1/18,0
4/8/18,0
4/15/18,0
4/22/18,0
4/29/18,0
5/6/18,0
5/13/18,0
5/20/18,0
5/27/18,0
6/3/18,29
6/10/18,0
6/17/18,0
6/24/18,30
7/1/18,31
7/8/18,0
7/15/18,0
7/22/18,0
7/29/18,0
8/5/18,30
8/12/18,0
8/19/18,0
8/26/18,0
9/2/18,0
9/9/18,28
9/16/18,0
9/23/18,0
9/30/18,0
10/7/18,0
10/14/18,29
10/21/18,0
10/28/18,29
11/4/18,0
11/11/18,0
11/18/18,0
11/25/18,0
12/2/18,0
12/9/18,0
12/16/18,0
12/23/18,0
12/30/18,0
1/6/19,0
1/13/19,0
1/20/19,0
1/27/19,0
2/3/19,0
2/10/19,0
2/17/19,0
2/24/19,0
3/3/19,0
3/10/19,0
3/17/19,0
3/24/19,0
3/31/19,0
4/7/19,0
4/14/19,0
4/21/19,0
4/28/19,0
5/5/19,0
5/12/19,0
5/19/19,0
5/26/19,0
6/2/19,0
6/9/19,0
6/16/19,0
6/23/19,30
6/30/19,0
7/7/19,0
7/14/19,30
7/21/19,0
7/28/19,0
8/4/19,30
8/11/19,0
8/18/19,0
8/25/19,0
9/1/19,0
9/8/19,27
9/15/19,0
9/22/19,0
9/29/19,27
10/6/19,0
10/13/19,0
10/20/19,0
10/27/19,0
11/3/19,0
11/10/19,0
11/17/19,0
11/24/19,0
12/1/19,0
12/8/19,0
12/15/19,0
12/22/19,0
12/29/19,0
1/5/20,0
1/12/20,0
1/19/20,0
1/26/20,0
2/2/20,0
2/9/20,0
2/16/20,0
2/23/20,0
3/1/20,0
3/8/20,0
3/15/20,0
3/22/20,0
3/29/20,0
4/5/20,0
4/12/20,0
4/19/20,0
4/26/20,0
5/3/20,0
5/10/20,23
5/17/20,0
5/24/20,71
5/31/20,0
6/7/20,0
6/14/20,97
6/21/20,0
6/28/20,75
7/5/20,100
7/12/20,25
7/19/20,0
7/26/20,0
8/2/20,0
8/9/20,0
8/16/20,0
8/23/20,24
8/30/20,23
9/6/20,0
9/13/20,46
9/20/20,0
9/27/20,0
10/4/20,26
10/11/20,0
10/18/20,0
10/25/20,0
11/1/20,23
11/8/20,0
11/15/20,0
11/22/20,0
11/29/20,0
12/6/20,0
12/13/20,0
12/20/20,0
12/27/20,0
1/3/21,0
1/10/21,0
1/17/21,0
1/24/21,0
1/31/21,0
2/7/21,0
2/14/21,0
2/21/21,0
2/28/21,0
3/7/21,0
3/14/21,25
3/21/21,0
3/28/21,0
4/4/21,27
4/11/21,0
4/18/21,55
4/25/21,28
5/2/21,0
5/9/21,28
5/16/21,0
5/23/21,28
5/30/21,0